Inspection Date,Score
05/19/2014,85
04/13/2015,97
09/15/2016,58
12/01/2015,85
06/19/2014,100
09/13/2016,93
10/08/2015,86
05/14/2015,100
05/12/2015,84
03/16/2016,100
03/03/2015,100
05/06/2016,96
08/20/2015,100
07/28/2016,90
08/15/2016,89
03/31/2016,99
03/26/2015,100
06/22/2016,92
11/02/2014,59
11/12/2014,96
06/14/2016,100
06/17/2015,96
02/05/2015,100
11/24/2014,100
01/11/2016,98
01/02/2014,86
11/19/2013,85
03/13/2014,96
03/21/2014,97
02/17/2015,71
05/24/2016,96
02/23/2016,91
11/19/2013,90
05/22/2015,88
03/26/2014,77
09/25/2014,100
05/26/2015,91
10/01/2014,82
05/13/2014,100
03/18/2016,95
04/08/2016,94
03/25/2015,100
06/09/2016,94
01/05/2016,100
09/29/2015,83
07/30/2014,85
12/15/2015,71
01/07/2016,90
06/30/2014,90
01/30/2014,100
07/12/2014,91
11/19/2015,100
06/21/2016,96
10/11/2016,94
04/24/2015,95
04/08/2015,97
03/18/2015,97
07/09/2014,95
06/29/2016,71
01/03/2014,100
09/23/2015,96
11/06/2014,94
10/20/2015,87
01/06/2014,100
06/20/2014,97
09/14/2016,100
04/28/2015,90
06/29/2016,97
05/14/2015,81
12/16/2015,89
02/24/2014,90
02/27/2015,75
05/27/2016,94
06/15/2016,87
11/30/2015,99
07/26/2016,93
04/12/2016,78
12/17/2013,89
05/12/2015,87
03/25/2014,100
07/29/2016,82
01/28/2016,79
03/18/2014,93
03/30/2016,99
11/26/2013,93
04/03/2015,100
07/26/2016,95
03/11/2014,92
02/27/2014,97
11/04/2014,94
02/20/2014,86
08/12/2015,97
06/18/2015,93
09/23/2014,85
04/04/2016,96
07/14/2015,85
06/02/2016,84
01/27/2014,93
03/12/2015,87
01/15/2014,93
11/30/2015,87
09/24/2015,97
11/25/2015,93
01/15/2016,70
07/17/2015,93
05/23/2016,92
03/20/2015,93
10/27/2014,96
10/01/2015,100
09/13/2016,81
03/12/2014,93
12/08/2015,93
02/03/2016,100
04/11/2014,96
03/28/2014,100
08/28/2014,96
09/23/2015,97
11/19/2014,100
03/02/2015,83
04/11/2016,98
08/13/2014,97
11/22/2014,100
08/27/2014,94
02/26/2015,97
04/15/2015,91
06/30/2014,94
09/08/2016,89
03/31/2015,97
11/19/2014,97
09/22/2016,95
05/26/2015,97
06/29/2015,97
02/25/2016,100
08/31/2016,86
04/14/2015,100
01/22/2015,86
11/12/2014,100
08/18/2016,89
09/14/2015,97
04/21/2014,100
10/14/2016,89
06/01/2015,85
02/12/2014,86
09/22/2014,78
12/18/2014,97
09/16/2014,97
02/01/2016,72
10/13/2016,92
12/15/2014,88
11/08/2013,96
11/25/2015,97
05/12/2014,97
08/26/2015,80
01/11/2016,98
07/22/2014,79
09/09/2015,95
12/03/2013,97
06/10/2014,100
09/17/2015,100
08/01/2016,98
06/16/2015,96
09/24/2015,97
08/18/2015,77
03/17/2016,98
09/09/2015,86
01/20/2015,93
12/17/2013,95
08/11/2015,92
03/14/2016,96
09/22/2016,95
05/16/2016,89
07/23/2014,100
04/27/2015,97
06/22/2015,93
02/04/2016,100
02/17/2016,80
01/05/2016,87
03/10/2016,80
04/08/2015,96
06/25/2014,76
03/29/2016,85
06/16/2014,90
08/14/2014,80
12/10/2014,84
10/03/2014,90
11/24/2015,98
05/16/2014,97
04/23/2014,100
02/19/2015,94
05/16/2014,88
11/10/2014,96
02/26/2014,100
11/12/2014,93
07/18/2014,93
02/25/2015,90
02/21/2014,87
07/28/2014,97
03/27/2014,71
07/22/2014,100
12/31/2014,90
09/29/2014,83
06/15/2015,97
08/27/2015,82
11/21/2013,86
09/08/2015,97
05/30/2014,97
12/31/2013,86
11/18/2015,88
10/29/2014,94
04/02/2015,88
03/31/2016,92
03/31/2016,97
01/09/2015,90
01/21/2014,100
12/31/2013,100
07/15/2016,97
07/11/2016,95
04/06/2016,93
06/11/2015,88
09/29/2015,100
02/27/2015,91
05/19/2016,91
02/26/2016,89
02/16/2016,100
04/30/2015,79
03/17/2015,92
01/20/2016,93
12/10/2015,91
02/29/2016,95
04/10/2015,94
07/13/2015,81
09/05/2014,100
11/20/2015,80
12/05/2013,100
05/12/2016,96
10/21/2014,76
02/27/2014,100
05/07/2015,100
11/22/2013,100
07/28/2016,73
03/02/2015,84
10/02/2014,82
02/20/2015,88
12/16/2015,97
08/04/2016,93
08/20/2014,91
07/31/2014,88
10/09/2014,73
02/06/2014,97
06/13/2016,85
03/31/2015,90
09/02/2014,96
06/12/2014,85
04/30/2014,100
11/18/2015,100
05/19/2015,100
05/18/2016,91
07/28/2014,85
08/18/2016,90
03/03/2014,97
08/30/2016,93
10/14/2014,100
11/23/2015,81
08/06/2014,83
04/14/2014,93
03/18/2014,97
04/28/2014,82
10/13/2016,97
09/30/2014,75
03/06/2014,96
11/18/2014,75
06/11/2014,81
07/16/2014,91
01/06/2014,100
09/30/2016,96
01/17/2014,87
05/06/2014,100
09/02/2014,93
08/23/2016,98
02/19/2015,94
04/10/2014,97
09/05/2014,100
06/19/2014,75
03/02/2016,89
01/12/2016,95
01/27/2015,100
01/05/2016,97
04/22/2016,100
01/12/2015,88
11/05/2015,100
05/16/2014,93
07/19/2016,94
08/03/2015,88
06/09/2016,100
09/23/2015,100
04/21/2015,88
02/05/2014,78
01/08/2016,90
01/21/2016,89
03/03/2016,96
02/11/2016,98
10/09/2014,96
11/21/2014,84
06/26/2015,100
04/16/2015,90
03/10/2015,89
09/13/2016,95
05/19/2014,84
04/14/2015,93
07/15/2016,99
03/28/2016,86
03/15/2016,92
08/26/2015,97
12/02/2014,97
08/11/2016,95
03/25/2016,89
02/13/2015,100
01/06/2014,83
02/26/2014,91
08/07/2014,97
09/09/2014,90
11/03/2014,84
02/19/2016,93
07/08/2016,91
07/26/2016,79
06/14/2016,99
12/09/2014,100
05/17/2016,92
01/17/2014,82
11/16/2015,77
12/10/2015,80
08/26/2015,100
04/08/2015,89
12/02/2014,91
11/23/2015,99
08/30/2016,75
11/12/2015,95
03/17/2015,90
10/14/2014,85
03/07/2016,90
01/05/2016,82
05/28/2015,76
07/14/2014,87
05/11/2016,92
06/21/2016,94
10/14/2015,85
05/01/2015,88
05/16/2016,91
07/15/2015,100
07/31/2014,85
10/05/2016,78
06/22/2016,94
07/11/2014,100
04/13/2015,100
03/29/2016,99
01/17/2014,94
09/01/2015,97
08/16/2016,89
08/10/2015,97
05/01/2015,81
02/12/2016,83
04/14/2014,97
01/28/2015,90
06/22/2014,96
01/28/2015,97
12/05/2014,94
01/28/2015,80
03/14/2016,82
04/23/2015,93
06/09/2014,93
12/22/2015,80
08/25/2014,97
08/24/2016,100
04/03/2014,97
01/07/2016,89
11/07/2013,94
07/29/2015,93
02/23/2015,93
07/12/2016,85
10/06/2014,93
03/31/2014,94
02/19/2014,97
04/28/2015,93
05/06/2014,97
12/15/2014,100
06/29/2016,96
03/18/2014,93
03/17/2016,86
08/12/2016,90
08/20/2014,96
11/14/2013,100
10/29/2014,97
10/21/2014,100
06/21/2016,83
06/10/2015,84
11/24/2014,93
08/19/2016,100
08/29/2016,91
11/12/2013,87
01/29/2014,93
06/17/2016,86
08/30/2016,95
07/13/2015,97
10/07/2016,90
11/03/2014,90
04/03/2015,93
08/02/2016,88
01/06/2016,82
04/12/2016,96
09/22/2015,100
02/16/2016,82
10/09/2014,90
08/06/2015,100
11/27/2013,97
11/12/2014,97
10/06/2015,97
04/29/2014,78
08/09/2016,85
06/24/2016,95
07/29/2016,99
03/25/2016,88
09/04/2015,94
08/31/2016,81
09/14/2016,94
07/09/2015,91
04/15/2014,100
11/17/2015,94
12/08/2014,97
09/15/2016,80
12/05/2013,96
08/12/2015,100
03/28/2014,100
04/29/2015,94
01/08/2016,94
06/10/2016,100
03/31/2016,94
02/05/2016,95
03/10/2014,94
08/24/2015,93
01/22/2015,84
06/25/2015,73
03/12/2015,94
10/19/2015,92
01/22/2015,92
05/01/2015,100
11/10/2015,100
09/10/2015,100
09/14/2015,100
04/15/2014,100
01/27/2015,97
07/22/2015,100
08/27/2014,100
02/25/2014,92
03/06/2015,93
04/03/2014,89
07/06/2015,87
10/04/2016,96
01/20/2016,99
09/09/2014,87
09/16/2016,95
10/29/2015,96
10/21/2014,100
08/01/2016,100
05/21/2014,93
01/21/2015,79
03/26/2015,90
03/07/2016,100
05/12/2015,100
10/30/2015,95
04/29/2014,89
11/20/2013,90
03/31/2015,94
07/11/2016,72
04/08/2015,84
08/12/2015,100
06/17/2016,93
02/20/2014,97
08/22/2014,100
11/25/2013,86
11/06/2015,100
01/28/2015,79
09/30/2015,90
01/07/2016,95
12/19/2013,81
12/17/2013,88
03/26/2014,96
07/11/2016,84
12/10/2015,85
03/26/2014,84
04/02/2015,100
07/11/2014,93
11/05/2014,85
01/29/2015,90
03/09/2016,96
04/05/2016,93
10/03/2016,95
04/25/2016,96
02/25/2016,99
01/13/2015,89
08/05/2014,91
06/16/2015,95
08/26/2014,93
12/01/2015,97
06/14/2016,91
01/28/2016,94
08/11/2015,93
09/15/2015,89
03/14/2016,87
07/30/2015,97
11/06/2013,90
01/28/2014,86
02/03/2015,100
03/26/2015,86
08/04/2016,99
02/20/2015,100
03/07/2016,80
10/29/2014,97
06/24/2015,97
07/18/2016,100
04/26/2016,97
12/31/2014,90
01/02/2015,83
09/05/2014,97
06/26/2014,100
05/16/2014,97
08/27/2015,97
11/26/2013,72
08/25/2014,79
07/18/2014,89
10/23/2014,100
04/15/2014,100
05/20/2015,87
08/29/2014,97
12/04/2014,87
04/15/2016,93
05/23/2014,94
04/29/2016,100
08/12/2014,97
08/20/2015,80
11/07/2013,93
04/21/2015,92
02/02/2015,87
05/19/2014,91
04/07/2014,97
03/17/2016,89
08/10/2016,95
09/21/2016,91
10/29/2014,87
04/20/2015,73
06/25/2015,87
03/13/2014,100
08/26/2014,100
04/22/2016,92
02/24/2015,91
05/18/2015,84
09/30/2014,93
06/10/2015,97
02/19/2014,93
01/05/2016,95
04/15/2014,83
12/09/2013,88
09/30/2015,87
09/08/2015,94
11/03/2015,91
04/10/2015,100
02/27/2015,89
05/05/2016,99
07/21/2016,96
03/05/2015,92
06/10/2016,93
05/21/2015,100
08/03/2015,70
07/28/2016,83
09/19/2016,96
06/02/2016,88
07/30/2015,97
03/18/2016,95
05/20/2014,70
08/28/2015,94
03/09/2016,90
08/18/2016,83
11/13/2013,87
03/04/2014,100
05/18/2015,97
04/24/2015,83
01/22/2014,100
11/14/2014,94
10/05/2016,99
10/18/2015,83
09/01/2015,96
08/08/2014,100
09/09/2014,96
05/27/2014,89
06/19/2014,100
02/05/2014,100
09/01/2015,71
10/19/2015,94
10/15/2014,100
05/17/2016,96
04/14/2016,99
04/23/2014,100
03/27/2014,92
05/05/2015,93
11/20/2013,100
04/29/2014,80
11/26/2013,97
03/06/2014,97
10/13/2015,92
02/21/2014,100
10/02/2014,92
03/21/2016,94
03/30/2016,86
08/08/2014,90
11/20/2013,94
03/14/2016,92
08/11/2014,90
12/01/2015,100
02/17/2015,85
06/07/2016,81
04/24/2015,92
04/30/2015,100
11/25/2013,100
08/02/2016,91
07/29/2014,78
10/16/2014,91
01/21/2016,85
08/06/2015,93
02/17/2015,94
01/20/2016,90
01/13/2015,97
12/17/2013,87
06/22/2016,80
12/30/2015,75
11/09/2015,86
02/19/2016,96
02/26/2016,91
07/29/2015,100
08/29/2014,94
09/13/2016,89
10/13/2016,70
11/24/2014,92
08/22/2014,97
10/14/2015,100
07/29/2016,82
03/14/2014,86
07/17/2014,81
02/03/2015,100
02/02/2015,100
07/16/2015,100
10/16/2015,97
07/11/2014,92
04/01/2015,75
04/06/2016,93
11/19/2014,96
05/10/2016,95
06/10/2014,94
02/23/2015,83
09/16/2014,95
05/22/2014,87
04/08/2014,84
02/04/2016,94
07/19/2016,84
09/11/2014,70
06/10/2015,93
04/27/2015,97
01/30/2014,100
03/11/2015,100
10/14/2015,100
03/21/2016,90
06/27/2014,97
03/08/2016,91
09/22/2016,90
01/11/2016,92
12/11/2015,100
06/04/2015,91
09/02/2015,100
05/02/2016,90
08/17/2015,97
07/22/2014,100
07/14/2015,96
10/27/2014,77
12/01/2015,84
01/07/2016,96
04/08/2016,94
12/03/2015,82
04/01/2015,77
05/21/2014,89
08/24/2015,84
07/09/2015,79
02/11/2015,92
02/24/2016,93
08/24/2015,78
05/10/2016,91
07/02/2015,92
11/09/2015,94
07/10/2014,81
10/22/2014,100
03/01/2016,97
02/20/2014,86
06/26/2015,100
04/21/2015,58
01/26/2015,91
01/15/2014,100
06/08/2015,84
01/03/2014,72
02/05/2015,97
07/24/2015,89
01/22/2015,87
04/13/2016,90
07/22/2015,100
07/24/2014,86
06/19/2014,100
03/12/2014,96
08/20/2014,92
09/29/2015,100
02/02/2015,100
05/28/2014,93
06/21/2016,75
02/18/2016,94
01/21/2015,100
11/14/2014,82
09/17/2014,89
07/21/2016,95
12/03/2014,83
05/17/2016,88
12/15/2014,97
10/01/2014,97
01/20/2015,77
06/19/2015,97
06/29/2016,97
03/04/2015,79
04/08/2016,100
03/18/2015,82
10/28/2015,94
05/14/2015,94
03/28/2016,91
09/25/2014,97
10/13/2014,97
01/08/2016,95
02/05/2015,86
09/08/2016,95
05/21/2015,76
01/06/2016,97
11/24/2014,97
12/27/2013,96
09/29/2014,77
11/19/2013,95
10/05/2016,88
05/03/2016,94
03/10/2015,100
11/17/2015,95
06/26/2015,70
03/06/2014,87
01/14/2015,89
05/29/2015,93
04/24/2015,100
12/17/2015,97
09/29/2014,100
12/15/2014,97
08/25/2014,97
02/26/2015,97
09/22/2016,100
07/03/2014,90
08/03/2015,87
06/21/2016,91
01/29/2014,71
12/23/2013,86
04/19/2016,89
01/13/2015,63
10/29/2015,97
06/06/2014,89
12/10/2015,54
04/15/2016,91
08/16/2016,91
12/31/2015,100
05/07/2015,83
08/20/2015,97
03/30/2016,91
12/04/2015,100
08/01/2016,87
04/22/2015,91
05/19/2015,100
05/19/2016,94
06/15/2016,96
06/09/2015,100
01/27/2015,73
01/21/2014,100
05/18/2016,99
06/29/2015,75
06/21/2016,90
07/16/2014,100
04/29/2015,100
12/07/2015,75
09/26/2016,94
10/04/2016,85
05/16/2016,93
10/29/2014,88
01/15/2014,87
02/10/2016,85
07/17/2014,92
12/16/2014,81
05/23/2014,100
08/13/2014,93
02/20/2014,93
03/18/2015,97
10/01/2015,90
09/09/2015,94
05/05/2016,97
08/25/2016,97
06/30/2016,89
10/15/2015,93
11/24/2015,87
03/20/2015,88
04/08/2016,93
04/13/2016,82
07/26/2016,94
01/17/2014,93
09/03/2014,90
07/06/2016,88
06/03/2014,94
01/26/2015,87
03/18/2015,84
09/10/2015,100
07/21/2016,96
03/10/2015,78
10/23/2014,96
02/04/2016,99
03/31/2014,90
02/09/2016,84
02/21/2014,88
12/10/2014,92
04/24/2015,100
03/04/2015,100
05/14/2015,96
04/18/2016,89
02/29/2016,73
08/14/2015,92
01/28/2014,88
06/02/2015,100
05/13/2014,96
01/27/2015,88
01/08/2016,97
01/25/2016,89
04/26/2016,97
09/11/2014,61
06/09/2015,100
10/03/2016,100
10/29/2015,75
02/10/2016,100
12/04/2013,83
01/08/2015,100
10/21/2015,100
02/22/2016,98
11/10/2014,94
02/04/2016,72
03/27/2015,100
06/15/2016,97
10/11/2016,95
12/27/2013,85
05/31/2016,80
03/02/2015,100
11/14/2013,90
03/18/2015,88
07/07/2014,100
05/02/2016,83
02/24/2016,97
03/19/2015,93
04/01/2015,87
10/12/2016,79
09/22/2015,92
07/14/2014,97
10/10/2014,97
06/16/2014,89
09/30/2015,86
07/07/2015,100
11/20/2013,97
10/17/2014,90
01/20/2016,88
09/12/2016,92
09/20/2016,88
01/28/2016,88
01/06/2014,93
02/17/2015,100
12/18/2013,96
02/06/2015,84
04/18/2014,97
03/06/2014,97
07/02/2015,93
06/02/2015,100
05/20/2016,93
03/19/2015,90
05/18/2015,97
05/08/2015,84
09/05/2014,93
02/09/2016,88
09/02/2014,88
06/05/2015,93
08/09/2016,91
07/28/2016,93
07/22/2014,100
02/27/2015,95
03/17/2015,100
04/12/2016,93
03/08/2016,98
07/01/2014,100
07/21/2016,81
02/16/2016,74
09/11/2014,93
03/19/2015,71
03/24/2016,95
04/01/2015,94
12/26/2014,92
08/09/2016,83
05/02/2016,95
07/03/2014,100
02/17/2016,83
02/23/2016,91
07/21/2015,94
04/17/2015,96
09/15/2015,77
12/05/2014,90
04/28/2015,96
09/03/2015,97
07/05/2016,95
12/29/2015,56
08/26/2014,97
09/22/2016,85
04/21/2016,93
08/30/2016,99
05/06/2014,93
03/18/2016,98
10/20/2014,86
09/17/2015,79
12/30/2015,87
06/08/2016,91
03/23/2016,92
07/30/2015,89
10/08/2014,87
02/18/2015,79
02/11/2014,97
09/27/2016,90
08/12/2016,98
11/12/2015,82
12/28/2015,91
02/10/2015,75
06/04/2015,92
08/25/2016,92
10/04/2016,87
11/05/2014,91
04/22/2016,94
09/13/2016,83
01/26/2015,97
05/10/2016,100
10/06/2016,100
05/10/2016,87
03/15/2016,100
12/03/2015,98
03/22/2016,86
08/20/2014,88
10/11/2016,83
08/17/2015,91
05/28/2015,97
09/29/2016,79
05/10/2016,89
07/16/2014,95
10/10/2014,97
04/09/2015,97
10/23/2014,97
02/18/2016,76
03/27/2014,74
01/21/2014,87
04/21/2015,84
06/22/2016,95
11/24/2015,86
09/23/2016,94
05/09/2016,90
10/07/2014,93
12/08/2015,92
08/09/2016,79
03/31/2016,100
09/15/2014,90
01/12/2016,87
07/29/2016,89
05/13/2014,100
08/10/2015,95
01/26/2016,90
05/05/2016,97
09/25/2015,100
07/14/2016,94
04/21/2015,93
04/08/2014,94
12/16/2014,100
12/29/2014,92
11/04/2014,92
02/05/2014,100
07/17/2014,96
05/18/2016,71
09/28/2015,84
07/23/2015,87
06/30/2016,93
07/05/2016,91
11/03/2015,98
03/24/2014,92
10/30/2015,100
04/07/2015,91
08/20/2014,92
08/23/2016,93
02/23/2015,97
02/05/2015,100
03/18/2016,95
05/14/2015,100
10/26/2015,93
01/19/2016,95
07/22/2016,100
01/05/2016,92
02/01/2016,75
08/31/2015,100
10/28/2014,93
10/06/2016,96
04/19/2016,76
10/15/2015,100
02/27/2015,100
03/05/2014,100
03/16/2016,95
12/09/2014,92
06/17/2015,89
12/30/2014,100
02/25/2015,92
06/18/2014,96
07/02/2014,96
06/26/2015,87
04/01/2015,94
08/23/2016,89
03/07/2014,97
06/03/2016,100
11/19/2014,97
04/10/2015,89
04/08/2015,84
07/21/2016,79
12/18/2014,89
10/20/2014,100
07/20/2015,93
04/28/2015,96
08/25/2015,74
08/23/2016,100
02/20/2015,92
03/28/2016,98
06/29/2016,89
02/09/2016,93
09/30/2014,100
06/06/2014,94
04/13/2016,96
07/18/2016,87
04/19/2016,82
11/19/2014,96
10/28/2014,100
10/20/2015,81
11/20/2015,84
06/16/2016,94
09/15/2015,78
05/15/2015,87
02/28/2014,100
03/21/2014,96
11/14/2013,93
09/25/2015,93
03/06/2015,100
05/29/2015,100
02/09/2016,91
06/15/2016,94
09/10/2014,93
04/17/2014,79
03/19/2015,97
07/23/2015,90
02/28/2014,100
03/07/2016,100
06/23/2016,96
08/24/2016,88
03/24/2016,86
02/09/2016,72
08/04/2015,100
03/21/2016,100
06/07/2016,89
01/03/2014,91
02/05/2016,85
01/21/2014,86
08/04/2015,100
03/17/2016,96
08/05/2016,86
03/29/2016,98
01/06/2014,89
07/27/2015,88
01/21/2016,98
11/13/2014,97
05/27/2014,91
12/30/2015,94
10/20/2015,100
07/29/2016,97
08/31/2015,100
09/07/2016,92
01/29/2015,100
01/17/2014,90
07/27/2016,95
10/07/2015,85
07/27/2014,88
03/13/2014,96
06/26/2014,89
04/08/2014,81
09/03/2014,96
12/22/2014,77
02/04/2015,87
09/30/2015,97
09/11/2015,97
02/19/2016,70
11/19/2015,96
03/27/2014,85
01/12/2016,97
05/06/2014,100
11/27/2013,96
11/12/2013,97
02/12/2014,94
07/27/2016,73
05/28/2014,92
04/14/2014,92
04/15/2014,100
03/17/2016,81
09/30/2014,100
12/05/2013,89
01/03/2015,96
12/30/2015,94
05/28/2014,96
11/02/2015,100
11/12/2015,92
02/03/2016,83
11/17/2014,96
01/15/2015,87
08/24/2016,95
03/31/2015,96
08/24/2015,97
09/18/2015,100
12/04/2013,94
11/23/2015,83
05/23/2014,88
08/18/2015,87
12/08/2015,89
05/06/2016,92
06/23/2016,100
01/16/2015,93
03/16/2016,90
06/28/2016,93
02/24/2016,96
01/04/2016,80
09/09/2015,100
03/25/2015,97
04/09/2015,89
10/21/2014,83
09/22/2015,93
06/08/2016,89
10/28/2014,97
08/18/2015,91
06/03/2015,95
07/30/2014,97
09/15/2016,83
06/16/2016,82
11/19/2015,90
07/30/2015,80
12/09/2014,100
01/08/2016,78
09/23/2015,94
08/22/2016,85
07/11/2014,96
08/17/2015,94
06/02/2016,84
02/19/2016,80
12/23/2015,94
02/05/2015,88
05/13/2015,90
09/25/2015,100
08/13/2014,96
07/30/2014,81
01/31/2014,84
10/02/2015,85
04/26/2016,93
07/10/2015,96
06/03/2016,96
08/08/2014,96
05/08/2014,100
10/31/2014,92
08/09/2016,81
12/15/2014,97
02/18/2014,93
05/05/2016,97
06/04/2015,100
07/29/2014,100
01/03/2014,85
05/28/2015,100
08/24/2015,88
06/09/2016,92
01/02/2014,87
10/02/2015,88
08/11/2015,84
07/28/2015,100
06/10/2014,97
08/09/2016,90
06/17/2015,70
07/22/2014,89
04/01/2015,92
05/02/2016,95
03/23/2015,95
05/22/2014,73
04/21/2015,100
01/27/2015,82
05/20/2015,94
08/04/2015,100
04/15/2014,97
02/02/2015,100
06/26/2015,97
04/19/2016,80
09/29/2016,99
12/29/2014,100
06/30/2014,89
06/26/2015,89
08/05/2016,95
10/09/2014,97
01/07/2015,95
03/11/2015,94
02/02/2016,96
03/07/2016,95
04/04/2016,96
12/26/2013,96
03/28/2016,100
03/12/2015,97
07/13/2016,91
02/04/2015,97
06/28/2016,97
02/20/2014,100
06/22/2016,88
08/06/2015,95
06/22/2016,90
06/19/2015,77
02/23/2015,100
09/12/2014,91
04/16/2014,100
04/23/2015,88
12/02/2013,97
04/02/2015,100
09/19/2014,88
09/07/2016,98
05/02/2016,88
11/07/2014,100
01/12/2016,95
01/28/2016,79
08/11/2016,99
05/10/2016,98
07/07/2015,94
09/23/2014,100
09/09/2016,87
08/18/2015,97
01/20/2015,93
10/28/2015,93
10/14/2015,100
09/25/2014,82
10/06/2015,91
12/29/2015,83
12/04/2014,100
07/20/2016,91
12/31/2015,96
09/03/2015,83
09/03/2015,81
11/26/2013,97
05/25/2016,98
11/24/2015,97
11/13/2014,82
10/28/2015,86
08/29/2016,89
09/18/2015,100
09/16/2014,85
05/16/2016,100
11/06/2015,90
03/09/2015,90
01/20/2016,82
07/02/2014,85
03/08/2016,97
04/19/2016,100
